type,accuracy,f1,recall,precision,,time
training,57.57822465,0.52745098,0.545751634,0.534313725,,1:46 min/epoch
validation,55.90534086,0.369398907,0.409836066,0.359289617,,
training,76.05362425,0.68115942,0.695652174,0.684782609,,
validation,74.35953105,0.735151515,0.757575758,0.73030303,,
training,79.56253901,0.626666667,0.63,0.63,,
validation,77.76812853,0.698809524,0.711309524,0.723214286,,
training,84.37949469,0.780141844,0.787234043,0.776595745,,
validation,84.30308294,0.811320755,0.811320755,0.820754717,,
training,86.43382453,0.708333333,0.708333333,0.71875,,
validation,84.65045593,0.735897436,0.75,0.737179487,,
training,86.56679964,0.758865248,0.765957447,0.755319149,,
validation,85.8662614,0.75308642,0.768518519,0.759259259,,
training,88.77581481,0.833333333,0.829545455,0.852272727,,
validation,88.27616153,0.911949686,0.91509434,0.91509434,,
training,88.57770903,0.832520325,0.821138211,0.853658537,,
validation,87.60312636,0.77277628,0.773584906,0.790880503,,
training,89.17474016,0.852991453,0.85042735,0.863247863,,
validation,87.42943986,0.846808511,0.85106383,0.843971631,,
training,90.43393308,0.751851852,0.766666667,0.755555556,,
validation,90.18671298,0.823076923,0.826923077,0.83974359,,
training,89.86132595,0.863636364,0.863636364,0.875,,
validation,89.44854538,0.838596491,0.842105263,0.83625731,,
training,91.17750821,0.77037037,0.766666667,0.788888889,,
validation,90.46895354,0.835897436,0.846153846,0.830128205,,
training,91.89394556,0.886178862,0.902439024,0.87804878,,
validation,90.75119409,0.896296296,0.911111111,0.9,,
training,91.35390377,0.79379845,0.790697674,0.80620155,,
validation,91.01172384,0.731182796,0.741935484,0.725806452,,
training,90.96311976,0.826086957,0.826086957,0.826086957,,
validation,90.27355623,0.816352201,0.823899371,0.823899371,,
final training,90.7134522,0.808943089,0.817073171,0.81300813,,
final validation,89.94789405,0.934693878,0.931972789,0.93877551,,
test,89.53766008,0.737179487,0.740384615,0.75,,
