type,accuracy,f1,recall,precision,,time
training,53.61610899,0.366060606,0.381818182,0.366666667,,4:27min/epoch
validation,52.64871906,0.361827957,0.373655914,0.368817204,,
training,75.60585091,0.549685535,0.566037736,0.550314465,,
validation,75.05427703,0.65380117,0.652046784,0.669590643,,
training,82.78107954,0.634722222,0.65625,0.628472222,,
validation,81.80633956,0.760233918,0.763157895,0.780701754,,
training,84.71057559,0.773643411,0.771317829,0.782945736,,
validation,84.08597482,0.74137931,0.75,0.75,,
training,87.41349833,0.720289855,0.710144928,0.739130435,,
validation,85.88797221,0.702172097,0.706140351,0.710526316,,
training,87.96439523,0.851515152,0.852272727,0.856060606,,
validation,86.45245332,0.848717949,0.849358974,0.865384615,,
training,90.01058373,0.854814815,0.855555556,0.859259259,,
validation,89.57881025,0.901234568,0.907407407,0.898148148,,
training,89.76091617,0.790697674,0.802325581,0.790697674,,
validation,88.99261832,0.804597701,0.810344828,0.801724138,,
training,89.16117127,0.826086957,0.847826087,0.815217391,,
validation,88.12418584,0.892198582,0.893617021,0.90070922,,
training,91.52487177,0.80141844,0.808510638,0.79787234,,
validation,90.29526704,0.638251366,0.650273224,0.633879781,,
training,91.23178377,0.925581395,0.930232558,0.934108527,,
validation,90.66435085,0.808163265,0.799319728,0.829931973,,
training,92.10290646,0.940740741,0.944444444,0.944444444,,
validation,90.29526704,0.889361702,0.893617021,0.897163121,,
training,92.63752069,0.939393939,0.931818182,0.954545455,,
validation,91.05514546,0.837908497,0.839869281,0.846405229,,
training,92.90075714,0.92248062,0.918604651,0.930232558,,
validation,91.61962657,0.955555556,0.955555556,0.955555556,,
training,92.43941491,0.93495935,0.951219512,0.926829268,,
validation,91.96699957,0.869047619,0.875,0.866071429,,
final training,92.45569758,0.84496124,0.837209302,0.860465116,,
final validation,91.14198871,0.832051282,0.83974359,0.830128205,,
test,91.33926633,0.83,0.836666667,0.84,,
